age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
69,co-op,combo,gas,0,eat in,NA,2,1,0,5,0,0,228000,NA,NA,11355,767
69,co-op,formal,oil,0,eat in,604,1,1,0,4,0,0,235500,890,NA,11354,0
20,condo,combo,NA,0,efficiency,NA,1,1,0,3,0,0,137550,550,5500,11368,167
22,condo,combo,gas,0,eat in,NA,3,2,0,5,0,0,545000,NA,2260,11354,275
75,co-op,combo,gas,0,eat in,660,2,1,0,4,0,39,241700,675,NA,11426,0
86,co-op,combo,oil,0,eat in,932,2,1,0,4,0,0,250000,1000,NA,11415,0
74,co-op,combo,gas,0,efficiency,660,1,1,0,3,0,0,145000,NA,NA,11423,0
64,co-op,NA,gas,0,efficiency,514,0,1,0,2,0,0,109000,375,NA,11375,0
64,co-op,NA,oil,0,eat in,781,1,1,0,4,20,0,212000,NA,NA,11360,0
19,condo,other,NA,0,eat in,NA,1,1,0,3,0,0,535000,681,1320,11102,0
42,condo,formal,gas,1,eat in,NA,2,2,0,5,0,0,675000,NA,5400,11360,821
42,condo,combo,oil,1,eat in,NA,1,1,0,4,0,0,468000,NA,3500,11360,546
63,co-op,combo,gas,0,eat in,829,2,1,0,4,0,0,220000,NA,NA,11362,0
64,co-op,combo,oil,0,Combo,986,3,1,0,5,20,0,280000,950,NA,11357,0
39,condo,formal,gas,1,eat in,NA,3,2,0,6,0,0,533000,1100,3333,11365,238
64,co-op,combo,oil,0,Combo,1000,2,2,0,5,0,0,370000,1300,NA,11355,0
62,co-op,formal,other,0,combo,NA,2,2,0,5,0,0,392000,NA,NA,11374,0
69,co-op,NA,oil,0,efficiency,587,1,1,0,3,0,0,200000,NA,NA,11375,0
61,co-op,NA,gas,0,efficiency,1459,2,2,0,5,215,0,289550,NA,NA,11415,0
64,co-op,combo,oil,0,efficiency,655,1,1,0,3,0,0,140000,NA,NA,11415,0
68,co-op,combo,oil,0,eat in,791,1,1,0,3,0,50,175000,NA,NA,11415,0
68,co-op,NA,oil,0,efficiency,660,1,1,0,4,0,0,150000,NA,NA,11423,0
16,condo,combo,gas,0,efficiency,NA,3,2,0,7,0,0,500000,991,373,11373,510
76,co-op,NA,oil,0,efficiency,963,1,1,0,4,75,0,105000,NA,NA,11435,0
66,co-op,other,oil,0,eat in,830,3,1,1,5,0,0,270000,1150,NA,11372,0
69,co-op,combo,gas,0,efficiency,512,1,1,0,3,0,0,130000,NA,NA,11427,0
40,condo,other,gas,0,eat in,NA,2,1,0,5,0,0,527000,1000,3186,11379,385
70,co-op,formal,gas,0,efficiency,733,2,1,1,5,20,0,350000,NA,NA,11360,0
